Resultado,Pedra,Hora
"48.518,00",13,"
        17:48
      "
"29.140,00",14,"
        17:48
      "
"27.567,00",14,"
        17:47
      "
"25.700,00",11,"
        17:47
      "
"14.381,00",11,"
        17:46
      "
"10.526,00",10,"
        17:46
      "
"14.489,00",3,"
        17:45
      "
"2.997,00",11,"
        17:44
      "
"17.749,00",3,"
        17:44
      "
"11.318,00",2,"
        17:43
      "
"33.890,00",10,"
        17:42
      "
"33.890,00",10,"
        17:42
      "
"8.905,00",12,"
        17:42
      "
"6.344,00",7,"
        17:41
      "
"- 1.152,00",4,"
        17:40
      "
"- 1.152,00",4,"
        17:40
      "
"12.962,00",9,"
        17:40
      "
"- 240.469,00",0,"
        17:39
      "
"- 240.469,00",0,"
        17:39
      "
"- 140.034,00",0,"
        17:38
      "
"24.416,00",10,"
        17:38
      "
"16.587,00",9,"
        17:37
      "
"12.098,00",13,"
        17:37
      "
"- 162.674,00",0,"
        17:36
      "
"24.461,00",4,"
        17:36
      "
"- 182.123,00",0,"
        17:35
      "
"27.562,00",14,"
        17:35
      "
"27.054,00",10,"
        17:34
      "
"26.295,00",9,"
        17:34
      "
"13.524,00",12,"
        17:33
      "
"17.537,00",5,"
        17:33
      "
"12.159,00",5,"
        17:32
      "
"2.315,00",14,"
        17:32
      "
"32.984,00",3,"
        17:31
      "
"19.453,00",1,"
        17:31
      "
"17.696,00",9,"
        17:30
      "
"10.793,00",6,"
        17:30
      "
"4.870,00",10,"
        17:29
      "
"10.362,00",1,"
        17:28
      "
"15.686,00",5,"
        17:28
      "
"14.113,00",11,"
        17:27
      "
"21.020,00",14,"
        17:27
      "
"7.600,00",7,"
        17:26
      "
"18.711,00",14,"
        17:26
      "
"13.824,00",12,"
        17:25
      "
"17.379,00",8,"
        17:25
      "
"15.801,00",3,"
        17:24
      "
"20.218,00",14,"
        17:24
      "
"14.294,00",12,"
        17:23
      "
"26.322,00",11,"
        17:23
      "
"20.071,00",8,"
        17:22
      "
"8.063,00",12,"
        17:21
      "
"19.649,00",1,"
        17:21
      "
"13.491,00",9,"
        17:20
      "
"4.324,00",5,"
        17:20
      "
"17.554,00",13,"
        17:19
      "
"14.768,00",9,"
        17:19
      "
"22.069,00",7,"
        17:18
      "
"2.227,00",10,"
        17:18
      "
"21.873,00",6,"
        17:17
      "
"13.246,00",4,"
        17:17
      "
"36.177,00",11,"
        17:16
      "
"5.710,00",12,"
        17:16
      "
"22.211,00",2,"
        17:15
      "
"23.308,00",7,"
        17:15
      "
"25.066,00",2,"
        17:14
      "
"25.002,00",5,"
        17:14
      "
"16.516,00",6,"
        17:13
      "
"9.811,00",3,"
        17:13
      "
"5.290,00",12,"
        17:12
      "
"17.400,00",6,"
        17:12
      "
"19.524,00",11,"
        17:11
      "
"10.368,00",4,"
        17:11
      "
"9.407,00",14,"
        17:10
      "
"18.503,00",3,"
        17:10
      "
"28.282,00",10,"
        17:09
      "
"33.240,00",8,"
        17:09
      "
